Food Code,Food Name,Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Starch (g),Total sugars (g),Glucose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g fd (g),Mono FA /100g food (g),Poly FA /100g food (g),Cholesterol (mg)
16-140,Rock Salmon/Dogfish# in batter# fried in sunflower oil,14.7,21.9,10.3,295,10.3,Tr,Tr,Tr,Tr,Tr,Tr,,0.4,,3.1,5.6,12,N
16-141,Rock Salmon/Dogfish# in batter# fried in sunflower oil# weighed with bones,13.7,20.4,9.6,274,9.6,Tr,Tr,Tr,Tr,Tr,Tr,,0.4,,2.9,5.2,11.2,N
16-133,Rock Salmon/Dogfish# raw,16.6,9.7,0,154,0,0,0,0,0,0,0,,0,,1.4,2.6,2.7,76
13-522,Rocket# raw,3.6,0.4,Tr,18,Tr,Tr,Tr,Tr,Tr,0,0,0,1.3,1.7,0.07,Tr,0.21,0
16-301,Roe# cod# hard# coated in batter# fried,12.4,11.8,8.9,189,8.9,Tr,Tr,Tr,Tr,Tr,Tr,,0.2,,N,N,N,N
16-299,Roe# cod# hard# raw,21.7,1.9,0,104,0,0,0,0,0,0,0,,0,,0.4,0.4,0.6,330
16-302,Roe# herring# soft# raw,16.8,2.6,0,91,0,0,0,0,0,0,0,,0,,0.5,0.6,0.7,575
16-132,Rohu# raw,16.6,1.4,0,79,0,0,0,0,0,0,0,,0,,N,N,N,N
13-882,Rosemary# dried,4.9,15.2,46.4,331,N,N,N,N,N,0,0,0,N,42.6,7.37,3.01,2.34,0
13-892,Rosemary# fresh,1.4,4.4,13.5,99,N,N,N,N,N,0,0,0,N,12.4,2.15,0.88,0.68,0
15-869,Roulade# spinach,10.1,13.3,4.5,182,2.7,2,0.1,0.1,0.2,0,1.6,,1.1,N,7.33,3.73,0.95,122.6
11-1111,Rum baba# homemade,3.7,7.7,33.1,222,13.3,19.7,Tr,Tr,19.7,0,Tr,2,0.9,N,1.94,3.91,1.3,26.3
11-940,Rusks,6.5,10.7,73,396,49.6,23.4,2.3,1.4,19.7,Tr,Tr,0,2.1,2.4,4.59,3.83,1.77,3.4
15-629,Saag# homemade,3.3,8.8,5,111,3.3,1.7,0.6,0.6,0.5,0,0,0,2.4,2.3,1.45,3.82,3,7.1
13-852,Saffron,11.4,5.9,61.5,310,19.1,42.4,N,N,N,0,0,,N,,N,N,N,0
13-854,Sage# dried# ground,10.6,12.7,42.7,315,N,N,N,N,N,0,0,0,N,,7,1.9,1.8,0
13-853,Sage# fresh,3.9,4.6,15.6,119,N,N,N,N,N,0,0,,N,,2.6,0.7,0.7,0
11-023,Sago# raw,0.2,0.2,94,355,94,Tr,Tr,0,0,0,0,0,0.5,,0.1,0.1,Tr,0
17-703,Salad cream,1.5,26.7,21.2,326,4.5,16.7,1.9,1.9,12.9,0,0,0,N,0.5,N,N,N,43
17-704,Salad cream# reduced fat,1,10.6,15.5,157,6.3,9.2,2.5,2.3,4.4,0,0,0,N,0.5,1.57,2.89,5.63,4.3
15-870,Salad# beetroot and onion in French dressing,1.9,3.1,9.5,71,1,8.2,N,N,N,0,0,,N,N,N,N,N,0
15-871,Salad# Greek,2.7,12.6,1.9,131,0,1.8,0.7,0.9,0,0,0.2,0,0.9,N,3.32,7.44,0.93,9.8
15-648,Salad# green,1,0.4,1.6,13,0,1.6,0.7,0.9,0,0,0,0,1.1,N,0.04,Tr,0.08,0
15-872,Salad# pasta# vegetables and mayonnaise,3.7,7.9,17.5,150,15.4,1.9,0.4,0.5,1,Tr,Tr,,1.4,N,0.76,4.43,2.14,N
15-873,Salad# potato# with French dressing,1.5,5,15.8,111,13.7,2.1,N,N,N,0,0,0,0.9,1.5,N,N,N,0
15-874,Salad# potato# with mayonnaise,1.6,20.6,12.7,239,11.1,1.5,0.4,0.4,0.7,Tr,Tr,,0.8,1.2,1.57,12.47,5.47,15.7
15-654,Salad# potato# with mayonnaise# retail,1.5,11.8,12.3,158,10.4,1.9,0.4,0.2,1.3,0,0,0,0.8,1.2,N,N,N,N
15-875,Salad# rice# brown,3.5,7.3,21.6,160,16.6,5,2,1.9,1.1,Tr,0,,1.2,N,0.85,4.07,1.95,0.1
15-649,Salad# rice# homemade,3.1,7,24.5,168,19.6,4.9,2,1.9,1,Tr,0,0,0.8,N,1.04,2.25,3.36,0
15-876,Salad# tomato and onion,0.6,2.7,4.9,45,0.4,4.1,N,N,N,0,0,0,N,1.3,N,N,N,0
15-878,Salad# Waldorf,1.5,17.8,7.9,196,Tr,7.9,1.4,4.3,2.2,Tr,Tr,,1.1,N,1.53,8.74,6.54,10.1
15-294,Salad# wholemeal pasta# with vegetables and mayonnaise,3.1,7.5,13.8,131,11.1,2.6,0.7,0.6,0.9,0.2,0,,2.7,,1.1,1.6,4.3,6
19-517,Salami,20.9,39.2,0.5,438,Tr,0.5,0.1,0,0,0,0.4,0,0.1,0.4,14.6,17.7,4.4,83
19-508,Salami snack,25.1,44,1.9,504,Tr,1.9,1.9,0,0,0,0,0,N,0.5,16.79,19.89,4.39,N
19-625,Salmis of pheasant# homemade,9.9,5.6,2.4,106,0.9,1.4,0.4,0.4,0.6,0,N,0.9,0.4,N,N,N,N,75.3
16-453,Salmon en croute# retail,11.8,19.1,18,288,17.1,0.9,0.1,Tr,0.1,0.5,0.2,0,N,N,N,N,N,31
16-359,Salmon# farmed# flesh only# baked,25.2,14.6,0,232,0,0,0,0,0,0,0,0,Tr,Tr,2.76,5.78,3.89,67.2
16-357,Salmon# farmed# flesh only# grilled,24.6,15.6,0,239,0,0,0,0,0,0,0,0,Tr,Tr,2.95,6.18,4.16,71.8
16-484,Salmon# farmed# flesh only# grilled# weighed with bones and skin,21.4,13.6,0,208,0,0,0,0,0,0,0,0,Tr,Tr,2.57,5.38,3.62,62.5
16-356,Salmon# farmed# flesh only# raw,20.4,15,0,217,0,0,0,0,0,0,0,0,Tr,0.2,2.77,6,4.06,67.5
16-358,Salmon# farmed# flesh only# steamed,23.6,18.5,0,261,0,0,0,0,0,0,0,0,Tr,Tr,3.5,7.33,4.93,85.2
16-483,Salmon# farmed# flesh only# steamed# fillets weighed with bones and skin,20.5,16.1,0,227,0,0,0,0,0,0,0,0,Tr,Tr,3.04,6.38,4.29,74.1
16-420,Salmon# pink# canned in brine# drained,23.6,4.8,0,138,0,0,0,0,0,0,0,0,0,0,0.92,1.72,1.45,61
16-418,Salmon# red# canned in brine# drained,23.5,7.3,0,160,0,0,0,0,0,0,0,,0,0,1.43,3.02,1.8,62
16-419,Salmon# red# canned in brine# skinless and boneless# drained,23.2,6.7,0,153,0,0,0,0,0,0,0,,0,0,1.28,2.76,1.65,61
16-412,Salmon# smoked (cold-smoked),22.8,10.1,0.5,184,0,0.5,Tr,Tr,Tr,0.5,0,0,0,0,2.15,3.11,2.84,45
16-413,Salmon# smoked (hot-smoked),25.4,8.8,1.3,186,0,1.3,Tr,Tr,0.8,0.4,0,0,0,0,1.94,2.63,2.92,72
16-485,Salmon# wild# baked,26.5,12.1,0,215,0,0,0,0,0,0,0,0,0,0,2.53,4.86,3,61.1
16-360,Salmon# wild# flesh only# raw,22.1,10.1,0,179,0,0,0,0,0,0,0,0,0,0,2.11,4.05,2.5,50.9
16-486,Salmon# wild# grilled,25.9,11.8,0,210,0,0,0,0,0,0,0,0,0,0,2.47,4.75,2.93,59.7
16-487,Salmon# wild# steamed,25.3,11.6,0,206,0,0,0,0,0,0,0,0,0,0,2.42,4.64,2.86,58.3
13-601,Salsify# flesh only# boiled in unsalted water,1.1,0.4,8.6,23,2.7,1.4,Tr,0.1,1.3,0,0,0,3.5,N,N,N,N,0
13-334,Salsify# flesh only# raw,1.3,0.3,10.2,27,3.5,1.5,Tr,0.1,1.4,0,0,,3.2,,N,N,N,0
17-367,Salt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-010,Salted fish# Chinese# bones removed# steamed,33.9,2.2,0,155,0,0,0,0,0,0,0,,0,,N,N,N,N
12-467,Sambar# homemade,3.1,0.9,7.7,49,5.9,1.9,0.3,0.3,1.3,0,0,0,2.1,2.4,0.17,0.26,0.42,70.5
19-596,Samosas# lamb# baked# homemade,11.1,17.5,23.1,288,20.8,1.6,0.4,0.3,0.6,0,0,0,1.7,2.3,3.39,9.07,3.81,30.9
19-597,Samosas# lamb# deep fried in rapeseed oil# homemade,8.1,31.5,16.9,379,15.2,1.2,0.3,0.2,0.4,0,0,0,1.2,1.7,3.72,17.76,8.28,22.6
15-305,Samosas# vegetable# retail,5.1,9.3,30,217,27.3,2.7,0.3,0.2,1.1,1.1,0,0,2.5,3.5,1.09,4.72,3.2,0.8
11-955,Sandwich# white bread# bacon# lettuce and tomato,8.2,11.9,24.1,230,21.7,2.4,0.2,0.4,0.1,1.6,Tr,,1.2,1.5,2.46,5.41,3.1,16.6
11-963,Sandwich# white bread# cheddar cheese and pickle,12,14.4,27.7,282,23.1,4.6,0.9,1.1,0.9,1.7,Tr,,1.1,1.5,7.42,3.92,1.86,29.6
11-964,Sandwich# white bread# chicken salad,10.7,4.9,22.5,172,20.4,2.1,0.2,0.4,0,1.5,0,,1.1,1.4,1.16,1.66,1.58,26
11-966,Sandwich# white bread# egg mayonnaise,8.8,11.2,28.5,243,26.2,2.2,0,0.1,0.1,2,0,0,1.2,1.5,1.89,5,3.19,102.6
11-965,Sandwich# white bread# ham salad,8.2,4.1,25,163,22.5,2.5,0.2,0.4,0.2,1.7,Tr,0,1.2,1.6,0.94,1.2,1.45,12.2
11-967,Sandwich# white bread# tuna mayonnaise,12.5,10.2,25.3,237,23.2,2.1,0,0.1,0.1,1.7,Tr,,1,1.4,1.29,4.95,3.19,20.4
14-256,Sapodilla# flesh only,0.6,0.9,15.5,69,0.8,14.7,6.7,5.3,2.7,0,0,,N,,N,N,N,0
16-424,Sardines# canned in brine# drained,22.1,9.1,0,170,0,0,0,0,0,0,0,,0,0,2.61,2.3,2.73,66
16-440,Sardines# canned in olive oil# drained,23.3,14.1,0,220,0,0,0,0,0,0,0,0,0,0,3.33,5.95,3.14,66
16-439,Sardines# canned in sunflower oil# drained,23.3,14.1,0,220,0,0,0,0,0,0,0,0,0,0,3.21,3.33,5.89,66
16-422,Sardines# canned in tomato sauce# whole contents,18.5,10.8,0.9,175,Tr,0.9,0.3,0.6,Tr,0,0,0,Tr,Tr,2.89,2.71,3.49,71
16-438,Sardines# flesh only# grilled,25.4,7.8,0,172,0,0,0,0,0,0,0,0,0,0,2.35,2.31,2,65.1
16-488,Sardines# flesh only# grilled# weighed with skin and bones,16,4.9,0,108,0,0,0,0,0,0,0,0,0,0,1.48,1.46,1.26,41
16-401,Sardines# flesh only# raw,19.8,6.1,0,134,0,0,0,0,0,0,0,0,0,0,1.83,1.8,1.56,51
12-593,Sauce# cheese# packet mix# dry,19.3,28.4,40.9,486,35.3,5.6,Tr,Tr,0.3,Tr,5.3,,N,1.7,17.6,N,N,N
17-628,Sauce# Chinese cook in# sweet & sour,0.5,1,22.1,94,2.7,19.4,4.8,4.8,9.7,0,0,,0.9,0.8,Tr,N,N,0
17-629,Sauce# Chinese stir fry,1.4,1.3,19.9,92,3.2,16.7,3.7,3.6,9.3,Tr,0,,0.8,0.9,0.12,0.56,0.5,0
15-879,Sauce# curry# onion# with butter# homemade,1.2,24.7,6.6,252,Tr,4.4,1.6,1.2,1.4,0,0.2,0,1.5,1.6,15.49,6.22,0.89,63.4
15-880,Sauce# curry# onion# with vegetable oil# homemade,1,30,6.5,298,Tr,4.2,1.6,1.2,1.4,0,0,0,1.5,1.6,1.96,17.63,8.76,0
15-751,Sauce# curry# sweet# UK type# homemade,1.1,5.7,9.8,92,3.1,5.7,2.2,2.5,0.9,0,0,,1.4,N,1.37,2.47,1.25,0
15-881,Sauce# curry# tomato and onion# homemade,1.7,19.2,6.1,201,0.6,4.6,2,1.9,0.7,0,0,,N,2,1.3,11.27,5.66,0
17-329,Sauce# dry# casserole mix,9.7,3.9,68.2,330,56,12.2,3.8,2.3,4.8,0,1.3,0,N,N,N,N,N,0
17-330,Sauce# dry# casserole mix# made up,1.1,0.4,7.3,35,6.1,1.2,0.4,0.2,0.5,0,0.1,0,N,,N,N,N,0
19-577,Sauce# duck a lorange,0.5,3.7,7.1,66,5.3,1.8,0.6,0.6,0.5,0,0,0.6,Tr,N,2.1,0.85,0.13,8.6
17-626,Sauce# Indian cook in# korma/tikka masala,1.7,9.5,10.9,133,3.5,7.4,1.6,2,3.2,0,0.5,,1.5,2.5,4.41,2.42,2.19,7.8
17-625,Sauce# pasta# carbonara type,4.9,13,3.8,151,3,0.8,Tr,Tr,Tr,0,0.8,0,0.9,1.3,7.67,3.75,0.75,30.9
17-624,Sauce# pasta# four cheese,5.1,9.7,5.8,129,3.9,1.9,Tr,Tr,N,Tr,N,,0.9,1.3,5.73,2.8,0.62,23
17-618,Sauce# pasta# tomato based# for bolognese,1.5,1.3,6.9,44,0.8,6.1,2.2,2.6,1.3,0,0,,1.3,2,0.21,0.71,0.35,0.1
17-619,Sauce# pasta# tomato based# napoletana,1.5,3.8,6.5,65,0.2,6.3,2.9,2.7,0.7,0,0,,1.8,2.3,0.54,1.81,1.3,0
17-620,Sauce# pasta# tomato based# reduced fat,1.4,0.3,6.7,33,1.1,5.6,2.1,2.4,1.1,0,0,,1.3,2,0.06,0.03,0.11,0
17-621,Sauce# pasta# tomato based# with added vegetables,1.4,2.1,5.7,46,0.6,5.1,1.8,2.1,1.2,0,0,,2.4,2.4,0.29,1.12,0.6,0
17-827,Sauce# pasta# white# with ham and mushrooms# homemade,7.3,10.6,1,129,0.1,1,0.1,0.1,0.1,Tr,0.7,0,0.7,0.4,6.6,2.81,0.48,36.7
17-336,Sauce# sweet and sour# take-away,0.2,3.4,32.8,157,5.3,27.5,9.5,9.7,8.3,0,0,0,N,N,N,N,N,0
15-882,Sauce# tomato and mushroom# homemade,1.4,2,6,46,0.2,4.7,2,1.9,0.7,0,0,,1.4,1.5,0.19,0.69,0.95,0
17-834,Sauce# tomato based# homemade,1.5,4.5,6.5,70,0.1,5.1,1.9,1.9,1.2,0,0,,1,1.3,0.63,3.17,0.41,0
17-630,Sauce# traditional cook in# tomato based,0.9,1,8.1,43,3.1,4.9,1.5,1.7,1.6,0,0,Tr,1.2,1.5,0.15,0.35,0.49,0
17-631,Sauce# traditional cook in# white sauce based,1.6,8.6,5.7,105,2.8,2.8,0.5,0.5,1.2,0.1,0.5,,1.9,2.3,1.69,2.75,3.72,8
17-627,Sauces# Indian cook in# other,1.4,3.2,8.7,67,2.6,6.1,1.9,2.3,1.9,0,Tr,,1.5,2.5,0.5,1.24,1.28,N
13-336,Sauerkraut,1.1,Tr,1.1,9,Tr,1.1,0.7,0.3,0.1,0,0,0,2.2,N,Tr,Tr,Tr,0
19-468,Sausage roll# flaky pastry# ready-to-eat# retail,8.4,24.1,27,352,25.6,1.3,0.2,Tr,0.2,1,Tr,,2.7,3.4,10.36,9.42,3.07,N
19-643,Sausage rolls# short pastry# homemade,9.9,28.8,25.6,395,23.5,2.1,0.8,Tr,0,1.2,0.1,0,1.8,3.3,10.65,12.51,4.17,36
19-653,Sausages# beef# fried in vegetable oil,17.6,17.4,10.7,267,8.1,2.6,0.4,0.2,0.8,1.1,0.1,0,1.7,1.6,7.57,8.17,0.73,42
19-489,Sausages# beef# grilled,17.2,17.2,11,265,8.6,2.4,0.4,0.2,0.7,1,0.1,0,1.7,1.6,7.9,7.9,0.57,42
19-656,Sausages# beef# raw,12.7,19.5,8.4,258,5.8,2.6,0.5,0.1,0.4,1.5,0.1,0,1.4,1.5,7.59,9.03,0.56,43
19-512,Sausages# pork# chilled# fried in vegetable oil,13.9,23.9,9.9,308,8.4,1.6,0.4,Tr,0.2,0.9,0.1,0,0.7,2.1,8.5,10.3,3.5,53
19-509,Sausages# pork# chilled# grilled,14.5,22.1,9.8,294,8.3,1.5,0.4,Tr,0.2,0.8,0.1,0,0.7,2.3,8,9.6,3,53
19-654,Sausages# pork# frozen# fried in vegetable oil,13.8,24.8,10,316,9.5,0.5,N,Tr,N,N,N,0,0.7,2.1,8.8,10.9,3.3,60
19-655,Sausages# pork# frozen# grilled,14.8,21.2,10.5,289,10,0.5,N,Tr,N,N,N,0,0.7,2.3,7.6,9.3,2.8,60
19-510,Sausages# pork# raw,11.9,25,9.6,309,6.8,2.8,1.1,Tr,Tr,1.6,Tr,0,1.6,2.8,9.15,11.15,3.4,60
19-662,Sausages# pork# reduced fat# fried in vegetable oil,14.9,5.7,8.8,144,6.2,2.6,0.9,0,0.1,0.5,0.1,0,1.4,2.3,1.92,2.27,1.26,21
19-511,Sausages# pork# reduced fat# grilled,16.2,6.1,10.7,160,7.3,3.4,1.2,0,0.1,2,0.1,0,1.5,2.5,2.24,2.39,1.15,24
19-658,Sausages# pork# reduced fat# raw,14.4,5.6,8.7,141,5.2,3.5,1.2,0,0.1,2,0.2,0,2.4,2.3,2.09,2.26,1.02,23.2
19-661,Sausages# premium# fried in vegetable oil,17.9,19.5,2.5,256,1.5,1,0.8,0,0.1,0,0.1,0,N,,7.54,7.56,3.29,69
19-513,Sausages# premium# grilled,19,21.1,2.3,275,1.4,0.9,0.7,0,0.1,0,0.1,0,N,0.6,8.03,8.36,3.62,72
19-657,Sausages# premium# raw,13.8,21,2.6,254,1.1,1.5,1.2,0,0.2,0,0.1,0,N,0.5,8.17,8.33,3.48,63
15-658,Sausages# vegetarian# baked/grilled,14.9,9.4,9.2,179,2.9,1.3,0.5,0.5,0.2,0.1,0,0,2.6,N,2.33,4.07,1.85,0
19-319,Saveloy# unbattered# takeaway,13.8,22.3,10.8,296,8.9,1.3,0.4,0.1,0.3,0.5,0,0,0.8,,7.5,9.8,3.6,78
16-262,Scallops# steamed,23.2,1.4,3.4,118,Tr,Tr,0,0,0,0,0,,0,,0.4,0.1,0.4,47
16-409,Scampi# coated in breadcrumbs# baked,11.6,10.5,24.3,232,23.5,0.8,Tr,Tr,Tr,0.8,Tr,0,0.3,1.5,0.85,6.26,2.72,64
16-443,Scampi# coated in breadcrumbs# fried in sunflower oil,10.6,13,22.2,243,21.5,0.7,Tr,Tr,Tr,0.7,Tr,0,0.3,1.4,1.15,6.77,4.3,58
16-442,Scampi# in breadcrumbs# frozen# fried in rapeseed oil,10.6,13,22.2,243,21.5,0.7,Tr,Tr,Tr,0.7,Tr,0,0.3,1.4,1.02,7.81,3.49,58
11-1112,Scones# cheese# homemade,10.1,16.4,45.3,358,43.5,1.9,Tr,Tr,0.3,0.1,1.5,,1.8,2.1,7.18,6.11,1.84,18.5
11-993,Scones# fruit# retail,6.5,11.2,56.2,338,37.3,18.9,3,2.7,9.9,0.4,2.8,0,2,2.9,6.3,3.4,0.8,5.8
11-1115,Scones# fruit# wholemeal# homemade,7.7,11.1,50.8,322,36.8,13.9,4.5,4.5,3.2,0.2,1.5,,4.8,N,3.65,4.56,1.97,3.3
11-958,Scones# plain# homemade,7.2,12.7,55.9,352,50.5,5.4,Tr,Tr,3.5,0.1,1.8,,2.1,2.4,4.4,5.38,1.94,3.9
11-827,Scones# plain# retail,7.2,12.3,55.2,346,42.5,12.7,0.9,Tr,10.4,Tr,1.5,0,2.3,2.2,6.37,3.54,1.19,35.4
11-1113,Scones# potato# homemade,4.8,13.6,36.8,279,35.4,1.4,0.1,0.1,0.2,0,0.9,,1.5,1.9,4.61,5.97,2.14,3
11-1114,Scones# wholemeal# homemade,8.2,12.3,46.6,319,41.1,5.6,Tr,Tr,3.6,0.2,1.7,,5.1,5.8,4.08,5.08,2.2,3.7
17-835,Scotch broth# homemade,6.8,3.5,4,74,2.2,1.6,0.6,0.5,0.6,Tr,0,,0.9,N,1.6,1.33,0.22,20.7
19-518,Scotch eggs# retail,12,16,13.1,241,13.1,Tr,Tr,0,0,0,0,0,N,1.7,4.3,6.77,2.8,165
11-1116,Scotch pancakes# homemade,6.6,9.8,41.1,270,33.4,7.7,Tr,Tr,5.7,0,1.9,,1.4,1.7,3.43,4.09,1.48,40
11-544,Scotch pancakes# retail,5.6,9.6,43,270,21.5,21.5,2,1.6,14.1,Tr,3.8,0,1.5,1.9,0.74,3.53,2.12,21.3
16-454,Seafood selection,15.6,1.5,2.9,87,Tr,Tr,0,0,0,0,0,0,0,0,0.3,0.2,0.5,115
16-415,Seafood sticks,7.3,1.9,14.9,102,10.1,4.8,Tr,Tr,4.8,0,0,0,0,0,0.29,0.72,0.71,16
13-337,Seakale# stem only# boiled in unsalted water,1.4,Tr,0.6,8,0,0.6,N,N,N,0,0,,N,,Tr,Tr,Tr,0
13-338,Seaweed# Irish moss# raw,1.5,0.2,Tr,8,0,Tr,Tr,Tr,Tr,0,0,,12.3,,Tr,Tr,0.1,0
13-339,Seaweed# kombu# dried# raw,7.1,1.6,Tr,43,0,Tr,Tr,Tr,Tr,0,0,,58.7,,0.5,0.3,0.4,0
13-340,Seaweed# nori# dried# raw,30.7,1.5,Tr,136,0,Tr,Tr,Tr,Tr,0,0,,44.4,,0.4,0.1,0.7,0
13-341,Seaweed# wakame# dried# raw,12.4,2.4,Tr,71,0,Tr,Tr,Tr,Tr,0,0,,47.1,,0.3,0.1,1.5,0
11-903,Semolina# raw,10.6,1.6,77.9,349,77.3,0.6,Tr,Tr,0.4,0.1,0,0,2.4,2.9,0.23,0.16,0.65,0
16-367,Sesame prawn toast# takeaway,12.9,29.8,16.7,382,13.9,0.8,Tr,Tr,Tr,0.8,Tr,0,1.8,3.6,3.84,15.1,9.54,48.4
14-844,Sesame seeds,18.2,58,0.9,598,0.5,0.4,0.1,0.1,0.2,0,0,0,7.9,N,10.48,22.07,25.5,0
17-836,Sev/ganthia# homemade,18.8,25.1,47.1,478,42.6,1.9,Tr,Tr,1.9,0,0,0,7.5,8.4,1.87,13.1,8.37,0
11-915,Sevyian# homemade,3.8,3.1,20.2,119,6.6,13.6,0.5,0.5,8.3,0,4.3,0,Tr,1,1.86,0.78,0.18,23
13-342,Shallots# raw,1.5,0.2,3.3,20,Tr,3.3,1.2,1,1.1,0,0,0,1.4,,Tr,Tr,0.1,0
17-760,Shandy# 50% lager# homemade,0.2,Tr,2.9,23,0,2.9,0.8,0.7,1.4,0.1,0,1.6,Tr,Tr,Tr,Tr,Tr,0
17-821,Shandy# bottled or canned,Tr,Tr,5,24,0,5,1.6,1.7,1.7,0,0,0.7,Tr,Tr,Tr,Tr,Tr,0
16-142,Shark# raw,23,1.1,0,102,0,0,0,0,0,0,0,,0,,0.2,0.2,0.4,44
14-259,Sharon fruit# flesh only,0.8,Tr,18.6,73,0,18.6,9.3,9.3,Tr,0,0,,1.6,,Tr,Tr,Tr,0
19-626,Shepherds pie# homemade,5.9,5.4,9.5,107,8.5,0.9,0.2,0.2,0.2,0,0.2,,0.6,0.9,2.04,2.23,0.53,19
15-883,Shepherds pie# vegetable,4.5,3.9,16.1,114,14,1.5,0.5,0.4,0.6,0,0,,2.4,N,0.3,2.17,1.19,0
15-655,Shepherds pie# vegetable# retail,1.9,4.9,13.3,101,11.4,1.7,0.6,0.5,0.5,Tr,0.1,0,1.2,N,2,1.2,1.4,7
17-236,Sherry# medium,0.1,0,5.9,116,0,5.9,3,2.9,0,0,0,13.3,0,0,0,0,0,0
19-525,Shish kebab in pitta bread with salad,13.6,4.1,15.4,149,14.1,1.3,0.4,0.4,Tr,0.5,0,0,1.1,1.2,1.51,1.62,0.46,33.3
19-150,Shish kebab# meat only,29,10,0,206,0,0,0,0,0,0,0,0,0,0,3.9,4.3,0.8,90
19-627,Shish kebabs# with onions and peppers# homemade,12.8,15.2,4.6,206,0.1,3,1.2,1.2,0.6,0,0,0,1.2,N,5.6,6.45,1.73,50.6
11-802,Shortbread,5.3,29,62.2,515,46.5,15.6,Tr,Tr,15.6,Tr,Tr,0,1.3,2.2,17.45,7.03,1.23,81.9
11-837,Shortcake# caramel# chocolate covered# retail,4.7,27.3,53.6,466,17.4,36.2,1.8,2,27.8,3.1,1.6,0,1.3,2.3,15.18,8.39,2,23
16-245,Shrimps# boiled,23.8,2.4,Tr,117,Tr,Tr,0,0,0,0,0,,0,,0.4,0.5,0.8,130
16-246,Shrimps# boiled# weighed with shells,7.9,0.8,Tr,39,Tr,Tr,0,0,0,0,0,,0,,0.1,0.2,0.3,42
16-247,Shrimps# canned in brine# drained,20.8,1.2,Tr,94,Tr,Tr,0,0,0,0,0,0,0,,0.2,0.3,0.4,130
16-249,Shrimps# dried,55.8,2.4,Tr,245,Tr,Tr,0,0,0,0,0,,0,,0.4,0.5,0.8,505
16-248,Shrimps# frozen,16.5,0.8,Tr,73,Tr,Tr,0,0,0,0,0,0,0,,0.1,0.2,0.3,130
16-144,Skate# grilled,18.9,0.5,0,79,0,0,0,0,0,0,0,,0,,0.1,0.1,0.2,N
16-145,Skate# grilled# weighed with bones,14,0.3,0,59,0,0,0,0,0,0,0,,0,,Tr,0.1,0.1,N
16-143,Skate# raw,15.1,0.4,0,64,0,0,0,0,0,0,0,,0,,Tr,0.1,0.2,N
17-096,Smartie-type sweets,5.4,17.5,73.9,456,3.1,70.8,0.3,Tr,65.6,0.1,4.8,0,N,N,10.4,5.7,0.6,17
17-747,Smoothies,0.5,0.1,12.2,49,0.6,11.6,N,N,N,Tr,0,0,N,1,Tr,Tr,Tr,0
16-477,Sole# flesh only# grilled# fillets weighed with skin,16.6,0.5,0,71,0,0,0,0,0,0,0,0,0,0,0.12,0.07,0.12,31
12-393,Sorbet# fruit,0.2,0.3,24.8,97,0,23.3,3.6,1.6,17.2,0.8,0,0,Tr,1,N,N,N,0
12-958,Souffle# cheese# homemade,11.6,16.8,10.8,237,6.8,2.3,Tr,Tr,0,0,2.1,,0.3,0.4,7.38,6.06,1.8,143.7
12-959,Souffle# plain# homemade,7.7,11.9,10.5,177,8,2.5,Tr,Tr,0,0,2.4,,0.3,0.4,4.02,4.92,1.77,143.5
17-637,Soup# broccoli and stilton# carton# chilled,2.3,3.1,3.8,51,2.3,1.5,0.2,0.3,0.2,0,0.6,0,N,N,1.69,0.96,0.2,48.2
17-634,Soup# carrot and coriander# carton# chilled,0.9,2.6,4.7,45,1.7,3,0.6,0.6,1.6,Tr,0.3,,0.5,1,1.38,0.9,0.19,Tr
17-776,Soup# carrot and orange# homemade,0.3,0.5,3.8,20,0,3.5,1.1,0.9,1.4,0,0,0,1,1.7,0.22,0.12,0.05,0.8
17-850,Soup# chicken noodle# dried,17.1,4.8,56,322,45.8,4.4,0.4,0.5,3.5,Tr,0,0,4.3,N,N,N,N,N
17-714,Soup# chicken noodle# dried# as served,1,0.3,3.2,19,2.7,0.3,Tr,Tr,0.2,Tr,0,0,0.2,N,N,N,N,N
17-695,Soup# chicken# cream of# canned,1.7,3.8,4.5,58,3.4,1.1,Tr,0.1,0.6,0,0.4,0,Tr,Tr,0.6,2,1,N
17-696,Soup# chicken# cream of# canned# condensed,2.6,5.8,6,85,4.6,1.4,Tr,0.2,0.4,0,0.8,0,Tr,Tr,0.8,3,1.4,4
17-652,Soup# cream of tomato# canned,0.9,2,7.8,51,2.4,5.5,1.3,1.5,2.2,Tr,0.5,,0.5,0.6,0.27,1.16,0.5,3
17-794,Soup# French onion# homemade,0.9,2.2,5,41,Tr,3.7,1.3,1,1.5,0,0,,0.9,1.3,0.19,1.22,0.64,Tr
17-795,Soup# gazpacho# homemade,0.8,3.6,2.9,46,0.1,2.5,1.1,1.2,0.2,0,0,,0.7,N,0.5,2.53,0.31,0
17-796,Soup# goulash# homemade,7.7,5.8,7.2,106,4.7,1.9,0.8,0.7,0.4,0,0,,0.9,1.2,1.1,3.07,1.29,18.8
